corpus	inf_length	voice	att_before	att_after	distance_to_att_words	subject	attraction	time
All	0.0571890897	0.0761833453	-0.0478246124	-0.0146649635	0.0523549631	-0.0465369953	0.0724710365	0.1414470975
Bloggmix	0.1143860011	0.1137979831	-0.0476335299	-0.028711663	0.0568608309	-0.0709762931	0.1311401725	0.1143938578
DA	0.0970278557	0.0761659398	-0.0456043686	0.0547504028	0.1351133017	0.0151986621	0.0911411133	0.0833169271
Familjeliv	0.0432215294	0.0409324072	-0.0506539638	-0.0143075702	0.0438860428	-0.047224103	0.0507171413	0.1416293926
Flashback	0.0586276356	0.0750578457	-0.047958485	-0.0122075715	0.0431813104	-0.0304802361	0.075231538	0.072902165
GP	0.2712798666	0.0560793456	-0.0037287979	0.0048831542	0.0899094815	-0.0138677568	0.0465526223	0.0416282291
SVT	0.0688934886	0.0752157606	-0.0150214143	0.0230523422	0.0759528581	-0.0124253649	0.0869322747	0.1887891687
Twitter	0.1029131558	0.1076617024	-0.0134828926	0.0089876864	0.0502114101	-0.0547510597	0.1091672676	0.0834250542
