corpus	voice	inf_length	att_before	att_after	distance_to_att_words	subject	attraction	time
all	0.0761833453364712	0.057189089749321416	-0.04782461244577716	-0.014664963469627	0.05235496312400607	-0.046536995265877706	0.07247103647130469	0.14144709746445824
bloggmix	0.11379798309772834	0.11438600112740575	-0.047633529927872884	-0.028711662979753666	0.05686083087009745	-0.07097629309210604	0.13114017251775678	0.11439385748192168
da	0.0761659397673832	0.09702785574780161	-0.04560436856375449	0.05475040284838589	0.13511330174653313	0.015198662086553516	0.09114111333882297	0.0833169271386775
familjeliv	0.04093240723363866	0.04322152939683701	-0.050653963775403474	-0.014307570178336856	0.04388604277363634	-0.04722410303279032	0.05071714125485872	0.14162939255317422
flashback	0.0750578457313226	0.05862763561345616	-0.047958485017124165	-0.012207571511042414	0.04318131039360408	-0.030480236137812446	0.07523153798825738	0.07290216503207687
gp	0.05607934560880651	0.2712798666334296	-0.003728797908808326	0.00488315420278975	0.08990948153616188	-0.013867756805979053	0.04655262231753502	0.041628229003679115
svt	0.07521576059957322	0.06889348860642512	-0.015021414288043452	0.0230523422464314	0.07595285813018175	-0.012425364935075935	0.08693227470072636	0.18878916843384
twitter	0.10766170235885344	0.10291315582829945	-0.01348289264611536	0.008987686362617634	0.05021141008793905	-0.054751059727826804	0.10916726758159717	0.08342505365848227
